순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
91,2021-09-23,Hawaiian Airlines,Airbus A321-271N,LDG,134,0,"Hawaiian Airlines 소속 Airbus A321-271N 항공기가 미국 Honolulu-Daniel K. Inouye 국제공항에서 착륙하던 중 테일스트라이크 사고가 있었으나, 인명피해 없음."
92,2021-09-25,Paracentrum Vlaanderen,Cessna 208B Super Cargomaster,LDG,1,0,"Paracentrum Vlaanderen 소속 Cessna 208B Super Cargomaster 스카이다이빙 비행기가 벨기에 Moorsele 비행장에 착륙하던 중 사고로 우측 메인 기어가 파손되었으나, 인명피해 없음. "
93,2021-09-27,United Airlines,Boeing 757-224 (WL),TOF,172,0,"United Airlines 소속 Boeing 757-224 항공기가 미국 Denver 국제공항의 활주로에서 이륙하던 중 테일스트라이크 사고가 있었으나, 인명피해 없음."
94,2021-09-28,Brasil Vida Taxi Aereo,IAI 1124A Westwind II,TOF,5,0,"Brasil Vida Taxi Aereo 소속 IAI 1124A Westwind II 항공기가 브라질 Goiania- Santa Genoveva 공항에서 이륙이 중단되어 활주로를 이탈하는 사고가 있었으나, 인명피해 없음."
95,2021-09-29,SVG Air,Britten-Norman BN-2B-26 Islander,LDG,7,0,"SVG Air 소속 Britten-Norman BN-2B-26 Islander 항공기가 몬세라트 섬의 Montserrat -John A. Osborne 공항에서 착륙 도중 활주로에서 벗어나는 사고가 있었으나, 탑승자 7명 중 2명은 가벼운 부상을 입고 인명피해 없음."
96,2021-10-05,Sierra West Airlines,Dassault Falcon 20C,APR,2,0,"Sierra West Airlines 소속 Dassault Falcon 20C 항공기가 미국 W of Thomson-McDuffie County 공항에 접근하던 중 나무와 지형에 충돌하면서 파괴되어, 선장과 부함장이 치명상을 입음."
97,2021-10-08,private,Learjet 35A,STD,0,0,마약운반용으로 추정되는 Learjet 35A 제트기가 벨리즈의 리틀 벨리즈 근처에서 법 집행관에 의해 발견됨.
98,2021-10-10,OSAAF,Let L-410UVP-E3,APR,22,16,DOSAAF 소속 Let L-410UVP-E3 항공기가 러시아 E of Menzelinsk 공항 인근에서 추락하면서 콘크리트 벽과 나무더미에 충돌하여 탑승자 22명 중 16명이 사망.
99,2021-10-14,private,Antonov An-2T,ICL,4,0,Antonov An-2T 여객기는 미국 캘리포니아 Alta Mesa Airpark (3CN7) 활주로 34에서 이륙 직후 나무와 지형에 충격을 받아 탑승자 4명이 중상을 입음.
100,2021-10-19,987 Investments LLC,McDonnell Douglas MD-87,TOF,21,0,"987 Investments LLC 소속 McDonnell Douglas MD-87 항공기가 미국 텍사스 Houston Executive 공항에서 이륙이 중단된 뒤 활주로를 이탈하는 사고가 발생해 불길에 휩싸였으나, 인명피해 없음"
101,2021-10-19,private,Rockwell Sabreliner 60,LDG,2,0,"Rockwell Sabreliner 60 항공기가 아이티 Jacmel 공항에 착륙 후 활주로를 이탈하는 사고가 있었으나, 인명피해 없음."
102,2021-10-19,AeroUral,Antonov An-2R,APR,2,0,"AeroUral 소속 Antonov An-2R 항공기가 러시아 Alapayevsk, Sverdlovsk 지역근처에 접근 중에 엔진이 고장나 활주로에서 400m 떨어진 곳에 불시착하며 이착륙 장치와 날개가 손상되었으나, 인명피해는 없음. "
103,2021-10-22,Alaska Seaplanes,Cessna 208B Grand Caravan,TOF,6,0,"Alaska Seaplanes 소속 Cessna 208B Grand Caravan 항공기가 미국 Juneau 국제공항에서 이륙하던 중 추락하는 사고가 있었으나, 인명피해는 없음"
104,2021-10-22,Scout About LLC,Embraer EMB-500 Phenom 100,LDG,4,0,"Scout About LLC 소속 Embraer EMB-500 Phenom 100 항공기가 미국 Orlando 국제공항에 착륙하던 중 활주로 이탈 사고가 있었으나, 인명피해는 없음."
105,2021-10-25,Smart Cakrawala Aviation,Cessna 208 Caravan I,LDG,2,1,"Smart Cakrawala Aviation 소속 Cessna 208 Caravan I 항공기가 인도네시아 Ilaga 공항에서 안개낀 날씨에 착륙하던 중 추락하여, 조종사 1명 사망 및 다른 조종사는 중상을 입음."
106,2021-10-29,Reven Global Transpor,Cessna 208B Grand Caravan,LDG,2,0,"Reven Global Transpor 소속 Cessna 208B Grand Caravan 항공기가 인도네시아 Dagi Baru 활주로에 착륙을 시도하던 중 추락하여 양쪽 날개가 부러지고 기체가 손상되었으나, 인명피해는 없음. "
107,2021-10-30,PAL Airlines,Beechcraft 200 King Air,LDG,6,0,"PAL Airlines 소속 Beechcraft 200 King Air 항공기가 캐나다 Halifax-Stanfield 국제공항에 접근 증 착륙기어가 제대로 작동하지 않아 우측플랩, 윙 그리고 기어가 손상되었으나, 인명피해는 없음."
108,2021-11-01,Air Tindi,de Havilland Canada DHC-6 Twin Otter 300,ENR,5,0,"Air Tindi 소속 de Havilland Canada DHC-6 Twin Otter 300 항공기가 연료고갈로 인해 NW of Fort Providence 북서쪽으로 12.4km 떨어진 지역에 비상 착륙하였으나, 인명피해는 없음."
109,2021-11-02,Optimum Aviation,Antonov An-26,ICL,5,5,"Optimum Aviation 소속 Antonov An-26 화물기가 남수단 Juba 공항에서 이륙한 직후 추락하여, 탑승자 5명 전원 사망."
110,2021-11-03,Safe Air Company (SAC),Transall C-160NG,LDG,2,0,"Safe Air Company 소속 Transall C-160NG 항공기가 소말리아 Dolow 공항에서 착륙한 후 좌측 주착륙 장치에 불이 붙어 전소되었지만, 인명피해는 없음"
111,2021-11-03,Grodno Aircompany,Antonov An-12BK,APR,9,9,Grodno Aircompany 소속 Antonov An-12BK 항공기가 러시아 Irkutsk 공항 동쪽 숲이 우거진 지역에서 추락 후 화재가 발생하여 탑승자 9명 전원이 사망.
112,2021-11-03,private,Beechcraft Super King Air,STD,0,0,"Beechcraft Super King Air 항공기가 베네수엘라 서부의 비밀활주로에 착륙한 후 파괴되었으며, 인명피해는 없음. 이 비행기는 마약밀수에 연루됨. "
113,2021-11-05,private,Grumman G-1159A Gulfstream III,STD,0,0,"Grumman G-1159A Gulfstream III 항공기가 과테말라 영공에 불법진입하여 Victoria 3, Retalhuleu 북근에 불법착륙하여, 법 집행관해 의해 발견되었지만 마약은 발견되지 않음."
114,2021-11-05,private,Gulfstream,STD,0,0,"마약밀수에 연류된 알려지지 않은 쌍둥이 제트기가 베네수엘라 서부의 비밀 비행장에 착륙한 후 파괴되었으며, 베네수엘라군에 의해 파괴된 것인지 밀수업자들에 의해 불이난것인지 불분명함."
115,2021-11-06,Ethiopian Airlines,Airbus A350-941,LDG,0,0,"Ethiopian Airlines 소속 Airbus A350-941 항공기가 남아프리카 공화국 Johannesburg- O.R. Tambo 국제공항에서 착륙시도 중 우측으로 기울어져 우측 날개 끝이 활주로에 긁히는 사고가 있었지만, 인명피해는 없음."
116,2021-11-13,Island Airways,Britten-Norman BN-2A-6 Islander,APR,5,4,"Island Airways 소속 Britten-Norman BN-2A-6 Islander 항공기가 미국 Beaver Island-Welke 공항의 35번 활주로 중심선에서 떨어진 지점에서 충돌하여 파괴됨. 탑승객 5명 중 한명은 중상을 입고 살아났으나, 나머지 4명은 사망함."
117,2021-11-14,EMD Astra Holdings LLC,IAI 1125 Astra SP,LDG,2,0,"EMD Astra Holdings LLC 소속 IAI 1125 Astra SP 제트기가 미국 Las Vegas-North Air Terminal에서 착륙시도 중 활주로를 이탈하는 사고가 있었으나, 인명피해는 없음. "
118,2021-11-29,Kalitta Air,Boeing 747-4B5F,ENR,6,0,"Kalitta Airt 소속 Boeing 747-4B5F 항공기가 미국플로리다 주 마이애미로 가던 화물기 운항 중 패널이 분실되고 우측 플랩과 연결봉의 윗부분이 손상되어 동체에 구멍이 났으나, 인명피해는 없음. "
119,2021-12-01,Lake & Peninsula Airlines,Cessna 208 Caravan I,APR,1,0,"Lake & Peninsula Airlines 소속 Cessna 208 Caravan I 항공기가 미국 Port Alsworth 공항으로 가는 도중 사유지에서 나무와 충돌하는 사고가 있었으나, 인명피해는 없음."
120,2021-12-01,private,Cessna 510 Citation Mustang,LDG,1,0,"Cessna 510 Citation Mustang 항공기가 미국 Lake Havasu City 공항에 착륙 후 화재가 발생하여 우측 날개가 크게 손상되는 사고가 있었으나, 인명피해는 없음. "
121,2021-12-05,Air Charter Scotland Ltd.,Cessna 560XL Citation Excel,STD,2,0,"Air Charter Scotland Ltd. 소속 Cessna 560XL Citation Excel 항공기가 핀란드 Kemi/Tornio 공항에서 워밍업 도중 왼쪽날개가 전봇대와 충돌하여 날개 앞쪽 가장자리가 심하게 손상되었으나, 인명피해는 없음."
122,2021-12-10,Castle Aviation,Swearingen SA-226AT Merlin IV,APR,1,1,Castle Aviation 소속 Swearingen SA-226AT Merlin IV 항공기가 미국 Manchester-Boston 지역 공항 6번 활주로에서 약 600m 떨어진 메리맥 강둑에 엔진고장으로 추락해 조종사 1명이 사망함.
123,2021-12-12,Frontier Airlines,Airbus A320-251N,LDG,0,0,"Frontier Airlines 소속 Airbus A320-251N 항공기가 미국 Las Vegas-McCarran 국제공항 26L 활주로에 착륙하던 중 테일스트라이크 사고가 있었으나, 인명피해는 없음."
124,2021-12-14,Dimed SA Distribuidora da Medicament os,Embraer EMB-500 Phenom 100,LDG,3,0,"Dimed SA Distribuidora da Medicamentos 소속 Embraer EMB-500 Phenom 100 제트기가 브라질 Santa Rosa 공항에 착륙한 후 활주로 이탈로 상당한 손상을 입는 사고가 있었으나, 인명피해는 없음. "
125,2021-12-15,Helidosa Aviation Group,Gulfstream G-IVSP,LDG,9,9,Helidosa Aviation Group 소속 Gulfstream G-IVSP 항공기가 도미니카 공화국 Santo Domingo-Las Americas 국제공항에 비상착륙을 시도하던 중 지형에 부딪혀 파괴되는 사고발생. 탑승객 9명 중 9명 전원 사망.
126,2021-12-17,Keewatin Air,Beechcraft B200 Super King Air,LDG,4,0,"Keewatin Air 소속 Beechcraft B200 Super King Air 항공기가 캐나다 Sanikiluaq 공항 29번 활주로에 접근하지 못한 상태에서 활주로를 벗어나는 사고로 비행기는 상당한 피해를 입었으나, 인명피해는 없음."
127,2021-12-21,Martinaire,Cessna 208B Super Cargomaster,ENR,1,1,Martinaire 소속 Cessna 208B Super Cargomaster 항공기가 미국 텍사스 Fulshear 인근에서 비행 중 동력 패러글라이더와 충돌해 추락하는 사고로 인해 조종사 1명 사망. 
128,2021-12-23,Malu Aviation,Shorts 360-300,APR,5,5,Malu Aviation 소속 Shorts 360-300 항공기가 콩고 Shabunda공항에서 약 15km 떨어진 숲에 추락하면서 파괴됨. 탑승객 5명 전원 사망.
129,2021-12-25,Air Canada,Airbus A330-343,LDG,81,0,"Air Canada 소속 Airbus A330-343 항공기가 캐나다 Montreal-Pierre Elliott Trudeau 국제공항 활주로에 착륙하던 중 타이어 2개가 터지는 사고로 주 착륙기어 앞 타이어 두 개가 펑크 나고 대차가 크게 손상되었으나, 인명피해는 없음."
130,2021-12-27,Aeromedevac Air Ambulance,Learjet 35A,APR,4,4,Aeromedevac Air Ambulance 소속 Learjet 35A 제트기가 미국 산디에고의 El Cajon 활주로로 진입하던 중 주택가에 추락해 탑승자 4명 전원 사망.
131,2021-12-28,Halsted Aviation Corporation (HAC),Cessna 208B Grand Caravan,LDG,0,0,"Halsted Aviation Corporation 소속 Cessna 208B Grand Caravan 항공기가 모잠비크 Bazaruto Island 공항에 착륙 중 양쪽 날개가 크게 손상되고 노즈랜딩기어는 거의 붕괴될 뻔한 착륙사고가 있었으나, 인명피해는 없음."
132,2021-12-28,Sky-Bound Aviation LLC,Beechcraft A100 King Air,LDG,2,0,Sky-Bound Aviation LLC 소속 Beechcraft A100 King Air 항공기가 미국 Helena-Thompson- Robbins 공항에 착륙도중 경착륙사고로 왼쪽 날개가 심하게 손상되었으나 인명피해는 없음. 
133,2021-12-30,Unknown,Beechcraft 300 Super King Air,LDG,3,0,"Beechcraft 300 Super King Air 항공기가 괴테말라 Rio Dulce-Las Vegas 공항에 착륙 시도 중 강한 횡풍으로 인해 활주로를 둘러싼 나무에 부딪히면서 활주로를 벗어나 엔진과 오른쪽 날개에 불이 붙는 사고가 있었으나, 인명피해는 없음."
134,2021-12-31,Royal Moroccan Gendarmerie,IRMA/Pilatus Britten-Norman BN-2T Islander,UNK,3,0,"Royal Moroccan Gendarmerie 소속 IRMA/Pilatus Britten-Norman BN-2T Islander 항공기가 모로코 N'Tireft에서 물에 추락하는 사고가 있었으나, 탑승객 3명 모두 구조되어 인명피해는 없음."
