순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
83,2023-09-08,Airselect LLC,Beechcraft 200 Super King Air,APR,1,,Airselect LLC 소속 Beechcraft 200 Super King Air 항공기가 미국 Waterloo 공항에 접근 중 최소연료(Minimum fuel) 상태에서 복행 했다가 재접근 시 엔진아웃 되어 Elk Grove Village 인근 숲이 우거진 지형에 불시작하여 조종사는 심각한 부상을 입음.
84,2023-09-14,Learjet 45XR,VSR Ventures,LDG,8,,VSR Ventures 소속 Learjet 45XR 항공기가 인도 Mumbai-Chhatrapati Shivaji 공항에 착륙 중 활주로 중심선에서 오른쪽으로 표류하다가 오토파일럿 해제 후 스톨에 걸려 유도로에 추락하면서 동체가 분리되어 탑승자들은 부상을 입음.
85,2023-09-16,Manaus Aerotaxi,Embraer EMB-110P1 Bandeirante,LDG,14,14,"Manaus Aerotaxi 소속 Embraer EMB-110P1 Bandeirante 항공기가 브라질 Barcelos 공항에 폭우 속에서 착륙하던 중 제동이 안 되어 활주로를 이탈, 공항의 펜스 및 제방과 충돌하여 탑승자 전원 사망함. "
86,2023-09-18,DHL International Aviation,Boeing 767-323ER (BDSF) (WL),LDG,,,"DHL International Aviation 소속 Boeing 767-323ER (BDSF) (WL) 항공기가 레바논 Beirut-Rafic Hariri 공항에 하드랜딩 하여 동체 표피에 주름이 졌으나, 인명피해 없음."
87,2023-09-19,Air Europa,Boeing 737-85P (WL),TXI,,,"Air Europa 소속 Boeing 737-85P (WL) 항공기가 스페인 Palma de Mallorca 공항에서 Condor 소속 Boeing 757-330 (WL) 항공기와 충돌하여 파손되었으나, 인명피해 없음."
88,2023-09-21,Flexjet LLC,Embraer EMB-545 Praetor 500,LDG,8,,"Flexjet LLC 소속 Embraer EMB-545 Praetor 500 항공기가 미국 Brunswick-Malcolm McKinnon 공항에서 하드랜딩으로 항공기가 상당한 손상을 입었으나, 인명피해 없음."
89,2023-09-23,Malian Air Force,Ilyushin Il-76TD,LDG,,2,"Malian Air Force 소속 Ilyushin Il-76TD 항공기가 말리 Gao 공항에 착륙 중 오버런 하면서 제방에 충돌, 탑승자 수는 밝혀지지 않았으나 러시아인 조종사와 말리인 승무원 2명이 사망함."
90,2023-09-28,American Airlines,Boeing 787-8 Dreamliner,ENR,238,,"American Airlines 소속 Boeing 787-8 Dreamliner 항공기가 미국 Detroit 인근에서 기내용 갤리가 넘어지면서 객실승무원이 심각한 부상을 입어, 비상선언 후 Philadephia 공항에 착륙함."
91,2023-09-30,United Airlines,Boeing 737 MAX 9,TOF,173,,"United Airlines 소속 Boeing 737 MAX 9 항공기가 미국 Denver 공항에서 이륙 활주 중 우측 날개 밑에서 화재 및 연기가 발생하여 이륙을 중단, 인명피해 없음. "
92,2023-10-04,AeroParadise,Learjet 45,LDG,7,,"AeroParadise 소속 Learjet 45 항공기가 멕시코 El Lencero 공항에 착륙 중 활주로를 이탈하여 수평안정판 및 우측 날개가 크게 손상되었으나, 인명피해 없음."
93,2023-10-04,FedEx Express,Boeing 757-236 (SF),LDG,3,,"FedEx Express 소속 Boeing 757-236 (SF) 항공기가 미국 Chattanooga-Lovell Field 공항에서 이륙 직후 왼쪽 유압시스템에 장애가 발생하여 이륙공항으로 착륙을 시도하던 중, 랜딩기어 시스템 및 비상 랜딩기어 장치도 작동하지 않아 비상선언 후 벨리랜딩 하여 항공기는 상당한 손상을 입었으나 인명피해 없음."
94,2023-10-04,Titan Airways,Airbus A321-253NX,ENR,20,8,"Titan Airways 소속 Airbus A321-253NX 항공기가 영국 London-Stansted 공항 인근에서 상승 중 과도한 소음을 느껴 London-Stansted 공항으로 회항하였으며, 이후 창문 3개가 유실 및 헐거워져 있었고 좌측 수평안정판이 파손된 것으로 파악됨."
95,2023-10-15,Skydive Center Tallard,Cessna 208 Caravan I,ENR,1,1,Skydive Center Tallard 소속 Cessna 208 Caravan I 항공기가 스카이다이버 낙하 후 프랑스 Gap-Tallard 비행장 인근에서 숲이 우거진 산허리에 추락하여 조종사가 사망함.
96,2023-10-16,Maya Island Air,Cessna 208B Grand Caravan,TOF,2,2,"Maya Island Air 소속 Cessna 208B Grand Caravan 항공기가 벨리즈 Placencia 공항에서 이륙 후 변압기에 충돌하여 공항 북쪽 0.5마일 지점에 추락, 항공기는 화재로 전소하였으며 탑승자 전원 사망함. 해당 항공기는 약물 운반용으로 사용된 것으로 추측됨."
97,2023-10-18,CSW Aviation LLC,Beechcraft 300 Super King Air,LDG,2,,"CSW Aviation LLC 소속 Beechcraft 300 Super King Air 항공기가 미국 Dekalb-Peachtree 공항에 빠른 속도로 착륙하면서 활주로를 오버런 하였으나, 인명피해 없음."
98,2023-10-20,Skydive Australia,Cessna 208 Supervan,ICL,17,,"Skydive Australia 소속 Cessna 208 Supervan 항공기가 호주 Barwon Heads 공항에서 이륙 후 초기 상승 중 엔진이 고장 나면서 공항 인근 목장에 비상착륙하였으나, 인명피해 없음. "
99,2023-10-20,Ilyushin Il-76MD,Russian Air Force,TOF,8,,"Russian Air Force 소속 Ilyushin Il-76MD 항공기가 타지키스탄 Dushanbe-Gissar 기지에서 이륙 활주 중 4번 엔진에 화재 발생으로 활주로를 이탈하여 항공기는 전소하였으나, 인명피해 없음."
100,2023-10-24,Whitmore Holdings LLC,Raytheon Hawker 850XP,TOF,3,,"Whitmore Holdings LLC 소속 Raytheon Hawker 850XP 항공기가 미국 William P. Hobby 공항에서 관제지시를 위반, 활주로에 침범하여 이륙 중 교차활주로에 착륙한 SB 501 LLC 소속 Cessna Citation Mustang 항공기(5명 탑승)와 충돌하여 항공기가 손상되었으나, 인명피해 없음. "
101,2023-10-25,Westair Aviation,Reims-Cessna F406 Caravan II,ENR,6,,"Westair Aviation 소속 Reims-Cessna F406 Caravan II 항공기가 남비아 Osire 인근에서 수평꼬리날개 조종면(엘리베이터) 케이블이 고장나 제어에 문제가 발생하여 농장에 비상착륙을 하면서 항공기는 상당한 손상을 입었으나, 인명피해 없음. "
102,2023-10-29,ART Taxi Aereo Ltda,Cessna 208B Grand Caravan,ICL,12,12,"ART Taxi Aereo Ltda 소속 Cessna 208B Grand Caravan 항공기가 브라질 Rio Branco Placido de Castro 공항에서 이륙 직후 숲이 우거진 지역에 추락하여 파괴, 탑승자 전원 사망함."
103,2023-10-30,Forca Aerea Brasileira - FAB,Cessna C-98 Caravan I (208A),ICL,5,,Forca Aerea Brasileira - FAB 소속 Cessna C-98 Caravan I (208A) 항공기가 이륙 직후 브라질 Palimiu Community 인근 하천에 비상착륙하면서 탑승자들이 경미한 부상을 입음. 
104,2023-11-01,Jet Rescue Air Ambulance,Learjet 35A,LDG,4,4,Jet Rescue Air Ambulance 소속 Learjet 35A 항공기가 멕시코 Cuernavaca 공항에서 착륙 중 긴 터치다운으로 인한 제동거리 부족으로 활주로를 오버런 후 제방에 충돌하여 탑승객 전원 사망함. 
105,2023-11-03,Rico Taxi Aereo,Embraer EMB-110P1 Bandeirante,LDG,17,,"Rico Taxi Aereo 소속 Embraer EMB-110P1 Bandeirante 항공기가 브라질 Manaus-Eduardo Gomes 공항에 착륙 중 활주로를 이탈하여 배수로에 부딪혔으나, 인명피해 없음. "
106,2023-11-03,Mark Anthony Group Inc.,Pilatus PC-24,ENR,3,,"Mark Anthony Group Inc. 소속 Pilatus PC-24 항공기가 캐나다 Kelowna 인근에서 비행 중 조종능력상실(LOC-I)로 비상사태를 선포하고 Vancouver 공항에 비상착륙 하였으나, 인명피해 없음. "
107,2023-11-10,Airpartner op. for Stryzh Avia,Antonov An-2R (TR-301 conv.),ENR,3,,Airpartner 소속 Antonov An-2R (TR-301 conv.) 항공기가 러시아 Chukotka에서 악천후로 추락하여 탑승자들이 부상을 입음.
108,2023-11-15,TVPX Aircraft Solution INC Trustee,Cessna 208B Grand Caravan EX,ENR,7,,"TVPX Aircraft Solution INC Trustee 소속 Cessna 208B Grand Caravan EX 항공기가 파라과이 Mariscal Estigarribia 인근에서 농장의 흙 표면 활주로에 접근하던 중 나무에 충돌하였으나, 탑승자들은 가벼운 부상을 입음. "
109,2023-11-20,US Navy (USN),Boeing P-8A Poseidon,LDG,9,,"US Navy (USN) 소속 Boeing P-8A Poseidon 항공기가 미국 Kaneohe Bay MCAS 기지에서 착륙하던 중 활주로를 오버슛하여 바다에 빠지게 되면서 항공기는 상당한 피해를 입었으나, 인명피해 없음. "
110,2023-11-26,"Ultra Air, LLC",Cessna 560XL Citation Excel,ENR,9,,"Ultra Air, LLC 소속 Cessna 560XL Citation Excel 항공기가 미국 Council Bluffs 인근에서 구름층을 통과해 강하 중 새 떼와 충돌하여 수평안전판이 손상되었으나, 인명피해 없음."
111,2023-11-28,Sindbard Air,Embraer EMB-120ER Brasilia,TOF,34,,"Embraer EMB-120ER Brasilia 소속 Sindbard Air 항공기가 탄자니아 Kikoboga/Mikumi 비행장에서 이륙 중 건물에 충돌하여 우측 날개와 노즈 랜딩기어가 붕괴되었으나, 인명피해 없음. "
112,2023-11-30,Aircraft Charter Group LLC,Beechcraft 400A Beechjet,LDG,2,,"Aircraft Charter Group LLC 소속 Beechcraft 400A Beechjet 항공기가 미국 Dekalb-Peachtree 공항에 착륙 중 기어가 붕괴되면서 항공기가 상당한 손상을 입었으나, 인명피해 없음."
113,2023-11-30,Hawaiian Airlines,Boeing 717-2BL,TXI,119,,Hawaiian Airlines 소속 Boeing 717-2BL 항공기가 미국 Kahului 공항에서 지상이동 중 견인차량과 충돌하여 좌측 날개에 경미한 손상을 입었으며 주기장의 지상조업요원이 가벼운 부상을 입음. 
114,2023-12-08,Lulutai Airlines,Saab 340B,TXI,,,"Lulutai Airlines 소속 Saab 340B 항공기가 통가 Fuaamotu 공항에 접근 중 유압시스템 이상이 발생하였으나 무사히 착륙 후 주기장으로 이동하는 과정에서 브레이크 시스템의 유압이 손실되어 콘크리트 벽과 충돌하여 항공기에 상당한 손상을 입었으나, 인명피해 없음."
115,2023-12-15,Peddler LLC,Cessna 510 Citation Mustang,LDG,1,,"Roma Participacoes 소속 Cessna 510 Citation Mustang 항공기가 브라질 Ijui-J. Batista Bos Filho 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음."
